id,name,created_at,admin_user_id
98,MFS Investment Management,2026-01-24 16:52:37.938283+00,
99,Qualcomm Singapore,2026-01-24 16:52:37.938283+00,
100,BlockTech,2026-01-24 16:52:37.938283+00,
101,Virtu Financial,2026-01-24 16:52:37.938283+00,
102,ASMPT SINGAPORE PTE. LTD.,2026-01-24 16:52:37.938283+00,
103,Techfount Systems Pte Ltd,2026-01-24 16:52:37.938283+00,
104,Byte Dance Singapore,2026-01-24 16:52:37.938283+00,
105,CIELO TALENT PTE. LTD.,2026-01-24 16:52:37.938283+00,
106,Cynapse,2026-01-24 16:52:37.938283+00,
107,PwC Singapore,2026-01-24 16:52:37.938283+00,
108,ALS RECRUIT PTE. LTD.,2026-01-24 16:52:37.938283+00,
109,Deloitte,2026-01-24 16:52:37.938283+00,
110,Silicon Labs,2026-01-24 16:52:37.938283+00,
111,Thales Singapore,2026-01-24 16:52:37.938283+00,
112,Allied Container Group,2026-01-24 16:52:37.938283+00,
113,Citadel Enterprise Americas,2026-01-24 16:52:37.938283+00,
114,Bosch Group,2026-01-24 16:52:37.938283+00,
115,Motion G Pte. Ltd.,2026-01-24 16:52:37.938283+00,
116,ByteDance,2026-01-24 16:52:37.938283+00,
117,MIGHTY JAXX INTERNATIONAL PTE LTD.,2026-01-24 16:52:37.938283+00,
118,NUTEK PRIVATE LIMITED,2026-01-24 16:52:37.938283+00,
119,AIRWALLEX (SINGAPORE) PTE. LTD.,2026-01-24 16:52:37.938283+00,
120,ECICS Limited,2026-01-24 16:52:37.938283+00,
121,Embed Financial Group Holdings,2026-01-24 16:52:37.938283+00,
122,Citi,2026-01-24 16:52:37.938283+00,
123,TetraMem,2026-01-24 16:52:37.938283+00,
124,DRW Singapore,2026-01-24 16:52:37.938283+00,
125,NETS Group,2026-01-24 16:52:37.938283+00,
126,Honeywell,2026-01-24 16:52:37.938283+00,
127,Aumovio,2026-01-24 16:52:37.938283+00,
128,QCP Capital,2026-01-24 16:52:37.938283+00,
129,ImmeVR Pte Ltd,2026-01-24 16:52:37.938283+00,
130,Dell,2026-01-24 16:52:37.938283+00,
131,Haleon Singapore,2026-01-24 16:52:37.938283+00,
132,Mastercard,2026-01-24 16:52:37.938283+00,
133,TikTok Singapore,2026-01-24 16:52:37.938283+00,
134,Substance,2026-01-24 16:52:37.938283+00,
135,GSK Singapore,2026-01-24 16:52:37.938283+00,
136,COACH OPERATIONS SINGAPORE PTE. LTD.,2026-01-24 16:52:37.938283+00,
137,Venti Technologies,2026-01-24 16:52:37.938283+00,
138,Horizon Labs,2026-01-24 16:52:37.938283+00,
139,AI Seer,2026-01-24 16:52:37.938283+00,
140,Titansoft Singapore,2026-01-24 16:52:37.938283+00,
141,TETRAMEM INC,2026-01-24 16:52:37.938283+00,
142,Oxford Knight,2026-01-24 16:52:37.938283+00,
143,Bloomberg Singapore,2026-01-24 16:52:37.938283+00,
144,SINGAPORE EXCHANGE LIMITED,2026-01-24 16:52:37.938283+00,
145,Hewlett Packard Enterprise,2026-01-24 16:52:37.938283+00,
146,AUGMENTUS PTE. LTD.,2026-01-24 16:52:37.938283+00,
147,Workstream,2026-01-24 16:52:37.938283+00,
148,Synpulse,2026-01-24 16:52:37.938283+00,
149,Thales,2026-01-24 16:52:37.938283+00,
150,GlobalFoundries Singapore,2026-01-24 16:52:37.938283+00,
151,HeyPico.ai,2026-01-24 16:52:37.938283+00,
152,JPMorganChase,2026-01-24 16:52:37.938283+00,
153,Gensler Singapore,2026-01-24 16:52:37.938283+00,
154,SUCCESS HUMAN RESOURCE CENTRE PTE. LTD.,2026-01-24 16:52:37.938283+00,
155,Seagate Technology Singapore,2026-01-24 16:52:37.938283+00,
156,TRINITY CONSULTING SERVICES PTE. LTD.,2026-01-24 16:52:37.938283+00,
157,Seagate Technology,2026-01-24 16:52:37.938283+00,
158,WSAudiology Singapore,2026-01-24 16:52:37.938283+00,
159,Apple Inc.,2026-01-24 16:52:37.938283+00,
160,Siemens Singapore,2026-01-24 16:52:37.938283+00,
161,Swiftly,2026-01-24 16:52:37.938283+00,
162,Amazon Asia-Pacific Resources Private Limited (Singapore) - B12,2026-01-24 16:52:37.938283+00,
163,PayPal,2026-01-24 16:52:37.938283+00,
164,"PayPal, Inc.",2026-01-24 16:52:37.938283+00,
165,FILPAL (S) PTE. LTD.,2026-01-24 16:52:37.938283+00,
166,Hewlett Packard Enterprise Singapore,2026-01-24 16:52:37.938283+00,
167,KPMG,2026-01-24 16:52:37.938283+00,
168,Cognizant Singapore,2026-01-24 16:52:37.938283+00,
169,Simular,2026-01-24 16:52:37.938283+00,
170,COINBASE SINGAPORE PTE. LTD.,2026-01-24 16:52:37.938283+00,
171,Airwallex,2026-01-24 16:52:37.938283+00,
172,Morgan McKinley,2026-01-24 16:52:37.938283+00,
173,HYUNDAI MOTOR GROUP INNOVATION CENTER IN SINGAPORE PTE. LTD.,2026-01-24 16:52:37.938283+00,
174,Mighty Jaxx,2026-01-24 16:52:37.938283+00,
175,VISEO,2026-01-24 16:52:37.938283+00,
176,United Overseas Bank,2026-01-24 16:52:37.938283+00,
177,AUMOVIO Singapore,2026-01-24 16:52:37.938283+00,
178,Manpower,2026-01-24 16:52:37.938283+00,
179,Rapsodo,2026-01-24 16:52:37.938283+00,
180,Aurecon Singapore,2026-01-24 16:52:37.938283+00,
181,WSA APAC,2026-01-24 16:52:37.938283+00,
182,GMP TECHNOLOGIES (S) PTE LTD,2026-01-24 16:52:37.938283+00,
183,Autodesk,2026-01-24 16:52:37.938283+00,
184,Aon Corporation,2026-01-24 16:52:37.938283+00,
185,CompAsia,2026-01-24 16:52:37.938283+00,
186,Savant Degrees Pte Ltd,2026-01-24 16:52:37.938283+00,
187,PERSOL,2026-01-24 16:52:37.938283+00,
188,"Asurion, LLC",2026-01-24 16:52:37.938283+00,
189,Carta,2026-01-24 16:52:37.938283+00,
190,Equinix Singapore,2026-01-24 16:52:37.938283+00,
191,WorldQuant,2026-01-24 16:52:37.938283+00,
192,The Frank Network,2026-01-24 16:52:37.938283+00,
193,Singtel,2026-01-24 16:52:37.938283+00,
194,Income Insurance Limited,2026-01-24 16:52:37.938283+00,
195,Activate Interactive Pte Ltd,2026-01-24 16:52:37.938283+00,
196,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,2026-01-24 16:52:37.938283+00,
197,KRIS INFOTECH PTE. LTD.,2026-01-24 16:52:37.938283+00,
198,Emerson Singapore,2026-01-24 16:52:37.938283+00,
199,TikTok Pte. Ltd.,2026-01-24 16:52:37.938283+00,
200,PARADIGM CONNECT ASIA PTE. LTD.,2026-01-24 16:52:37.938283+00,
201,Fabrica AI,2026-01-24 16:52:37.938283+00,
202,AECOM,2026-01-24 16:52:37.938283+00,
